# FINAL THESIS EXPERIMENTAL EVIDENCE. Tier-2 live software-based testbed: real 5G NAS/NGAP/GTP-U via Open5GS and UERANSIM, and a real IEEE 802.11 association and EAP-TLS exchange via mac80211_hwsim, over simulated radios. Not an RF, propagation, interference, channel-quality, spectrum-coexistence or physical-handover measurement. Generated from results/final/raw/; no value was typed by hand.
campaign,scenario,strategy,strategy_label,runs,TP,TN,FP,FN,illegitimate,legitimate,labelled,false_acceptance_rate,false_acceptance_denominator,false_rejection_rate,false_rejection_denominator,detection_rate_recall,precision,accuracy,f1
sensitivity,E05,static_continuity_ttl30,B30 static continuity,30,0,180,0,0,0,180,180,,0,0.0,180,,,1.0,
sensitivity,E06,static_continuity_ttl1800,B1800 static continuity,30,0,150,0,0,0,150,150,,0,0.0,150,,,1.0,
sensitivity,E06,static_continuity_ttl30,B30 static continuity,30,0,150,0,0,0,150,150,,0,0.0,150,,,1.0,
sensitivity,E07,static_continuity_ttl1800,B1800 static continuity,30,0,90,0,60,60,90,150,1.0,60,0.0,90,0.0,,0.6,0.0
sensitivity,E07,static_continuity_ttl30,B30 static continuity,30,0,90,0,60,60,90,150,1.0,60,0.0,90,0.0,,0.6,0.0
sensitivity,E08,static_continuity_ttl1800,B1800 static continuity,30,0,30,0,60,60,30,90,1.0,60,0.0,30,0.0,,0.333333,0.0
sensitivity,E08,static_continuity_ttl30,B30 static continuity,30,0,30,0,60,60,30,90,1.0,60,0.0,30,0.0,,0.333333,0.0
sensitivity,E09,static_continuity_ttl1800,B1800 static continuity,30,0,30,0,90,90,30,120,1.0,90,0.0,30,0.0,,0.25,0.0
sensitivity,E09,static_continuity_ttl30,B30 static continuity,30,0,30,0,90,90,30,120,1.0,90,0.0,30,0.0,,0.25,0.0
sensitivity,E10,static_continuity_ttl1800,B1800 static continuity,30,0,30,0,60,60,30,90,1.0,60,0.0,30,0.0,,0.333333,0.0
sensitivity,E10,static_continuity_ttl30,B30 static continuity,30,0,30,0,60,60,30,90,1.0,60,0.0,30,0.0,,0.333333,0.0
sensitivity,E15,static_continuity_ttl1800,B1800 static continuity,30,0,1342,0,308,308,1342,1650,1.0,308,0.0,1342,0.0,,0.813333,0.0
sensitivity,E15,static_continuity_ttl30,B30 static continuity,30,0,1342,0,308,308,1342,1650,1.0,308,0.0,1342,0.0,,0.813333,0.0
