# FINAL THESIS EXPERIMENTAL EVIDENCE. Tier-2 live software-based testbed: real 5G NAS/NGAP/GTP-U via Open5GS and UERANSIM, and a real IEEE 802.11 association and EAP-TLS exchange via mac80211_hwsim, over simulated radios. Not an RF, propagation, interference, channel-quality, spectrum-coexistence or physical-handover measurement. Generated from results/final/raw/; no value was typed by hand.
device_count,strategy,seed,decision_latency_ms_median,decision_latency_ms_p95,engine_time_us_median,nr_context_ms_median,wlan_context_ms_median,transition_ms_median,app_recovery_ms_median,reauthentications,step_ups,state_changes,messages,bytes,app_operations,cpu_seconds,cpu_percent,memory_mib_peak,wall_seconds,false_acceptance_rate,false_rejection_rate
1,independent,20260913,0.1696225,0.22408465,,0.028888,0.028383,,,1,0,1,0,0,0,0.01,68.241,59.34375,0.014654,,1.0
1,independent,20260914,0.1679795,0.20997215,,0.028214,0.033773,,,1,0,1,0,0,0,0.01,63.416,59.3359375,0.015769,,1.0
1,independent,20260915,0.183141,0.2116242,,0.034151,0.032385,,,1,0,1,0,0,0,0.01,62.309,59.3359375,0.016049,,1.0
1,independent,20260916,0.1709445,0.22384335000000002,,0.030113,0.027758,,,1,0,1,0,0,0,0.01,79.688,59.3359375,0.012549,,1.0
1,independent,20260917,0.167832,0.2112669,,0.029062,0.025403,,,1,0,1,0,0,0,0.01,74.722,59.3359375,0.013383,,1.0
1,independent,20260918,0.19247750000000002,0.24590555,,0.028684,0.041301,,,1,0,1,0,0,0,0.01,69.435,59.3359375,0.014402,,1.0
1,independent,20260919,0.1723535,0.20967605,,0.027926,0.041511,,,1,0,1,0,0,0,0.01,78.315,59.3359375,0.012769,,1.0
1,independent,20260920,0.215063,0.27534230000000004,,0.04168,0.037642,,,1,0,1,0,0,0,0.02,125.842,59.3359375,0.015893,,1.0
1,independent,20260921,0.1683155,0.20753074999999999,,0.028599,0.023636,,,1,0,1,0,0,0,0.01,61.323,59.3359375,0.016307,,1.0
1,independent,20260922,0.1751085,0.22376744999999998,,0.028767,0.035034,,,1,0,1,0,0,0,0.01,60.223,59.3359375,0.016605,,1.0
1,independent,20260923,0.17604950000000003,0.21531515,,0.028861,0.050204,,,1,0,1,0,0,0,0.01,77.328,59.3359375,0.012932,,1.0
1,independent,20260924,0.1831705,0.22445935,,0.030333,0.032012,,,1,0,1,0,0,0,0.01,78.518,59.3359375,0.012736,,1.0
1,independent,20260925,0.17084,0.2261,,0.027307,0.028484,,,1,0,1,0,0,0,0.01,75.592,59.3359375,0.013229,,1.0
1,independent,20260926,0.182309,0.2336369,,0.028526,0.031887,,,1,0,1,0,0,0,0.01,79.611,59.3359375,0.012561,,1.0
1,independent,20260927,0.17794,0.2108539,,0.028106,0.032055,,,1,0,1,0,0,0,0.01,71.485,59.3359375,0.013989,,1.0
1,independent,20260928,0.1819735,0.21326155,,0.027097,0.031382,,,1,0,1,0,0,0,0.01,71.023,59.3359375,0.01408,,1.0
1,independent,20260929,0.172961,0.2081249,,0.027265,0.032559,,,1,0,1,0,0,0,0.01,65.643,59.3359375,0.015234,,1.0
1,independent,20260930,0.1702765,0.21269665,,0.027575,0.032107,,,1,0,1,0,0,0,0.01,69.711,59.3359375,0.014345,,1.0
1,independent,20260931,0.169584,0.2111919,,0.028456,0.030722,,,1,0,1,0,0,0,0.02,148.357,59.3359375,0.013481,,1.0
1,independent,20260932,0.1697515,0.21479695,,0.028499,0.036724,,,1,0,1,0,0,0,0.01,67.962,59.3359375,0.014714,,1.0
1,independent,20260933,0.172354,0.233869,,0.028373,0.024134,,,1,0,1,0,0,0,0.01,66.133,59.3359375,0.015121,,1.0
1,independent,20260934,0.1620395,0.21145175,,0.029473,0.025263,,,1,0,1,0,0,0,0.01,76.746,59.3359375,0.01303,,1.0
1,independent,20260935,0.17773450000000002,0.21699744999999998,,0.027848,0.033225,,,1,0,1,0,0,0,0.01,59.06,59.3359375,0.016932,,1.0
1,independent,20260936,0.17608800000000002,0.224112,,0.029348,0.037352,,,1,0,1,0,0,0,0.01,77.369,59.3359375,0.012925,,1.0
